new_filename	original_filename	original_path_in_sattar	confidence_score	word_count	article_date	raw_date_text
ليل الاقتتال ليس قصيرا.doc	Security26.doc	folder1/Security26.doc	0.85	1120	2006-12-15	15/كانون أول/2006
بيان دعم للدكتور مصطفى البرغوثي.doc	Bayan54.doc	folder/Bayan54.doc	0.85	310	2004-12-18	18/كانون أول/2004
CIA تخوض الانتخابات الفلسطينية.doc	CIA.doc	folder1/CIA.doc	0.85	334	2006-01-21	21/ كانون ثاني/ 2006
أبو علاء أنجزت تفاوضيا.doc	abu allaa3.doc	old flash memory/New folder (4)/abu allaa3.doc	0.85	265	2008-08-20	20/آب/2008
أبو مازن يتحدى مشاعر شعب فلسطين.doc	Palestine178.doc	folder6/Palestine178.doc	0.85	192	2012-07-11	11/تموز/2012
أحمدي نجاد في حلقات التاريخ.doc	Iran24.doc	folder6/Iran24.doc	1.0	1642	2010-11-03	3/تشرين ثاني/2010
أرقصوا لعباس راح ع أميركا، إجا من.doc	Palestine216.doc	folder7/Palestine216.doc	1.0	305	2014-03-20	20/آذار/2014
أسباب الاقتتال الفلسطيني.doc	Palestine30.doc	Folder 3/Palestine30.doc	1.0	1497	2007-05-22	22/أيار/2007
أسباب تراجع حماس الانتخابي.doc	Hamas5.doc	folder/Hamas5.doc	1.0	744	2005-09-29	29/أيلول/2005
أسرلة التفكير الفلسطيني.doc	asrala.doc	D Docs/asrala.doc	1.0	349	2004-09-07	7/أيلول/2004
أعداء العرب يعقدون قمة.doc	Summit5.doc	old flash memory/New folder (4)/Summit5.doc	1.0	803	2008-03-25	25/آذار/2008
أكبر خازوق.doc	Palestine110.doc	folder5/Palestine110.doc	0.85	297	2010-04-19	19/نيسان/2010
أمراء الزعرنة.doc	zarana.doc	أ. د. عبد الستار قاسم/51/zarana.doc	0.85	804	2006-01-03	3/كانون ثاني/2006
أمريكا أمام خقار مرّ.doc	America42.doc	folder7/America42.doc	1.0	1078	2013-09-06	6/أيلول/2013
أمريكا أمام خيار مرّ.doc	America42.doc	old flash memory/New folder (8)/America42.doc	1.0	1179	2013-09-06	6/أيلول/2013
أمريكا تغتال المعارضة السورية.doc	Syria20.doc	folder6/Syria20.doc	1.0	1894	2012-03-08	8/آذار/2012
أمريكا تمهد لاستنزاف إيران والعرب.doc	America8.doc	D Docs/America8.doc	1.0	754	2004-02-21	21/شباط/2004
أمريكا ستخسر معركة لبنان.doc	Lebanon4.doc	folder/Lebanon4.doc	0.85	709	2004-01-14	14/كانون ثاني/2004
أموال السلطة الفلسطينية.doc	Palestine186.doc	folder7/Palestine186.doc	1.0	1269	2013-03-18	18/آذار/2013
أنا أنفق دفاعا عن أمن إسرائيل.doc	palestine193.doc	folder7/palestine193.doc	1.0	395	2013-05-25	25/أيار/2013
أنظمة الخيانة وأنظمة الجهالة.doc	arabs16.doc	arabs16.doc	1.0	1420	2011-06-15	15/حزيران/2011
أوروبا العملاق الجبان.doc	Europe1.doc	folder5/Europe1.doc	0.85	1577	2009-12-13	13/كانون أول/2009
أوسلو تحت أقدامنا.doc	Palestine140.doc	folder6/Palestine140.doc	0.85	259	2011-02-15	15/شباط/2011
أولويات الاتحاد الأوروبي ليست.doc	Europe4.doc	folder6/Europe4.doc	1.0	394	2011-07-18	18/تموز/2011
أي إسلام يقتل العلامة البوطي؟.doc	Islam17.doc	folder7/Islam17.doc	1.0	603	2013-03-22	22/آذار/2013
إثقال الفلسطيني بالضرائب.doc	Palestine135.doc	folder6/Palestine135.doc	0.85	568	2011-01-18	18/كانون ثاني/2011
إجراءات تسجيل الأراضي الفلسطينية.doc	palestine213.doc	folder7/palestine213.doc	1.0	546	2014-02-20	20/شباط/2014
إسرائيل تجثو.doc	Hizballah29.doc	old flash memory/New folder (4)/Hizballah29.doc	1.0	894	2008-07-17	17/تموز/2008
إسرائيل تخذل حلفاءها العرب.doc	Israel29.doc	folder4/Israel29.doc	1.0	765	2008-02-17	17/شباط/2008
إسرائيل لن تعود لقتال غزة.doc	palestine225.doc	gaza 10/palestine225.doc	1.0	1548	2014-07-12	12/تموز/2014
إضراب المضربين.doc	Palestine49.doc	Folder 3/Palestine49.doc	1.0	641	2007-09-09	9/أيلول/2007
إف 35 لإسرائيل.doc	Israel28.doc	old flash memory/New folder (4)/Israel28.doc	0.85	516	2008-10-01	1/تشرين أول/2008
إفادة حول اعتقالي جنائيا.doc	Court39.doc	folder6/Court39.doc	1.0	973	2011-06-18	18/حزيران/2011
إفساد الانتخابات الفلسطينية.doc	Elections9.doc	folder/Elections9.doc	0.85	362	2004-12-05	5/كانون أول/2004
إلغاء أوسلو ينهي الانقسام.doc	Palestine144.doc	folder6/Palestine144.doc	0.85	212	2011-02-23	23/شباط/2011
إلى الإخوة قادة حماس.doc	Hamas23.doc	Folder 3/Hamas23.doc	1.0	898	2007-08-14	14/آب/2007
إلى البروفيسور برهان غليون.doc	Syria21.doc	folder6/Syria21.doc	1.0	732	2012-03-01	1/آذار/2012
إلى الرئيس الأسد.doc	Syria11.doc	folder6/Syria11.doc	1.0	605	2011-04-22	22/نيسان/2011
إلى السيد محمود عباس.doc	Abbass12.doc	old flash memory/New folder (4)/Abbass12.doc	0.85	456	2008-01-27	27/كانون ثاني/2008
إلى القيادة السورية.doc	Syria10.doc	folder6/Syria10.doc	1.0	1265	2003-04-14	14/نيسان/2003
إلى رؤساء وأعضاء المجالس المحلية.doc	Bayan43.doc	folder/Bayan43.doc	0.85	210	2004-04-08	8/نيسان/2004
إلى سلطة الضفة بلسان فصيح.doc	Palestine43.doc	Folder 3/Palestine43.doc	1.0	703	2007-08-22	22/آب/2007
إلى سمو أمير قطر.doc	Qatar1.doc	folder6/Qatar1.doc	1.0	628	2011-04-15	15/نيسان/2011
إما الوحدة أو التنسيق مع إسرائيل.doc	Palestine130.doc	folder6/Palestine130.doc	0.85	530	2010-11-11	11/تشرين ثاني/2010
إيران تمتلك السلاح النووي.doc	Iran21.doc	folder4/Iran21.doc	1.0	615	2009-05-21	21/أيار/2009
اتركوا الفتحاويين يشاركون.doc	Palestine100.doc	folder5/Palestine100.doc	0.85	288	2009-07-30	30/تموز/2009
اتقوا الله بمشاعر الأسرى الفلسطينيين.doc	Prisoners20.doc	folder1/Prisoners20.doc	1.0	370	2007-04-17	17/نيسان/2007
احتمالات الحرب في المنطقة.doc	Iran23.doc	folder5/Iran23.doc	1.0	1366	2010-08-27	27/آب/2010
احمرار المسّ بحزب الله.doc	Hizballah27.doc	old flash memory/New folder (4)/Hizballah27.doc	1.0	615	2008-05-06	6/أيار/2008
اختباء محامي فلسطين.doc	Palestine64.doc	old flash memory/New folder (4)/Palestine64.doc	1.0	380	2008-07-06	6/تموز/2008
اختبار الخيانة.doc	Arafat8.doc	D Docs/Arafat8.doc	1.0	2268	2005-02-09	9/شباط/2005
استراتيجية المقاومة الفلسطينية.doc	Resistancs25.doc	folder7/Resistancs25.doc	1.0	1246	2014-08-08	8/آب/2014
استقالة رئيس الوزراء والبنك الدولي.doc	Palestine196.doc	folder7/Palestine196.doc	1.0	400	2013-06-21	21/حزيران/2013
اعتقلوني جنائيا.doc	Court6.doc	folder4/Court6.doc	1.0	402	2009-05-15	15/أيار/2009
الأحرار يصنعون الخبز يا عباس.doc	Abbass11.doc	folder1/Abbass11.doc	0.85	781	2006-10-17	17/تشرين أول/2006
الأخوة في الأجهزة الأمنية.doc	Palestine68.doc	old flash memory/New folder (4)/Palestine68.doc	1.0	1589	2008-08-18	18/آب/2008
الأرضية الأخلاقية للتقدم.doc	Ethics5.doc	folder1/Ethics5.doc	0.85	611	2006-01-14	14/كانون ثاني/2006
الأزمة السورية تتخطى مشكلة النظام.doc	Syria30.doc	folder7/Syria30.doc	1.0	968	2014-02-18	18/شباط/2014
الأقصى ضحية خياناتنا.doc	Palestine202.doc	folder7/Palestine202.doc	1.0	367	2013-09-24	24/أيلول/2013
الأمم المتحدة.doc	UN12.doc	folder/UN12.doc	0.85	743	2005-11-07	7/تشرين ثاني/2005
الإبعاد والتلاعب بالرأي العام.doc	Bayan24.doc	D Docs/Bayan24.doc	0.85	266	2003-09-14	14/أيلول/2003
الإخوان المسلمون والوضع في سوريا.doc	Islam19.doc	folder7/Islam19.doc	1.0	304	2013-05-27	27/أيار/2013
الإرادة الشعبية ضمان الحقوق العربية.doc	Arabs17.doc	folder6/Arabs17.doc	1.0	1379	2011-09-18	18/أيلول/2011
الإفساد بين الأردنيين والفلسطينيين.doc	Jordan3.doc	folder1/Jordan3.doc	0.85	697	2006-01-07	7/كانون ثاني/2006
الاستيطان والكذب على شعب فلسطين.doc	Palestine197.doc	folder7/Palestine197.doc	1.0	1400	2013-07-10	10/تموز/2013
الاعتداءات الأمريكية على الثورات.doc	America37.doc	folder6/America37.doc	1.0	1757	2011-06-19	19/حزيران/2011
الاعتراف بإسرائيل خيانة عظمى.doc	Treason1.doc	folder1/Treason1.doc	1.0	772	2006-05-28	28/أيار/2006
الاعتقالات السياسية لدى السلطة.doc	Prisoners25.doc	old flash memory/New folder (4)/Prisoners25.doc	1.0	1677	2008-09-28	28/أيلول/2008
الانتخابات أم إلغاء التنسيق الأمني؟.doc	Palestine139.doc	folder6/Palestine139.doc	1.0	309	2011-02-13	13/شباط/2011
البحث العلمي أمام القضاء.doc	Court26.doc	folder7/Court26.doc	0.85	260	2013-05-18	18/أيار/2013
البحرين عربية.doc	Bahrain1.doc	folder4/Bahrain1.doc	1.0	378	2009-02-20	20/شباط/2009
التخلص من الدعم الغربي.doc	Aid1.doc	folder1/Aid1.doc	1.0	755	2006-02-05	5/شباط/2006
التدخل الإسرائيلي في الانتخابات.doc	Elections21.doc	folder/Elections21.doc	0.85	699	2005-09-29	29/أيلول/2005
التشكيك بالثورات العربية.doc	Arabs10.doc	Arabs10.doc	1.0	1808	2011-03-23	23/آذار/2011
التطاول على أساتذة الجامعات د. أيوب.doc	University52.doc	folder7/University52.doc	0.85	611	2012-12-20	20/كانون أول/2012
التطاول على حزب الله.doc	Hizballah40.doc	folder6/Hizballah40.doc	1.0	1940	2012-06-02	2/حزيران/2012
التطاول على فضيلة القرضاوي.doc	qardawi.doc	folder5/qardawi.doc	0.85	383	2010-01-15	15/كانون ثاني/2010
التطوير الزراعي وتحرير الإرادة.doc	Agriculture2.doc	folder6/Agriculture2.doc	0.85	1586	2011-11-17	17 تشرين ثاني 2011
التغيير يبدأ بالأجهزة الأمنية.doc	arabs12.doc	folder6/arabs12.doc	1.0	695	2011-04-18	18/نيسان/2011
التلاعب بالدين الإسلامي.doc	Islam12.doc	folder15/Islam12.doc	1.0	1261	2012-04-19	19/نيسان/2012
التمر الإسرائيلي يفسد الصوم.doc	dates.doc	folder1/dates.doc	1.0	327	2006-09-28	28/أيلول/2006
التمر الصهيوني يفسد الصيام.doc	Palestine157.doc	folder6/Palestine157.doc	1.0	389	2011-08-01	1/آب/2011
التنازل في الألاح الكيميائي السوري.doc	Syria29.doc	folder7/Syria29.doc	1.0	576	2013-09-10	10/أيلول/2013
التهاني والتعازي ونهب أموال الشعب.doc	Bayan46.doc	folder/Bayan46.doc	1.0	189	2004-04-28	28/نيسان/2004
التهدئة الحمساوية-الإسرائيلية.doc	Palestine62.doc	old flash memory/New folder (4)/Palestine62.doc	1.0	1503	2008-06-29	29/حزيران/2008
التهديد الإسرائيلي ل غزة.doc	Gaza36.doc	folder7/Gaza36.doc	1.0	390	2013-04-24	24/نيسان/2013
الثمن بخس يا أبو الغيط.doc	Palestine124.doc	folder6/Palestine124.doc	1.0	498	2010-09-08	8/أيلول/2010
الثور الأمريكي والمغامرات الحربية.doc	America39.doc	folder7/America39.doc	1.0	1347	2013-08-30	30/آب/2013
الثور الأمريكي يتقلص عجلا.doc	America40.doc	folder7/America40.doc	1.0	617	2013-09-01	1/أيلول/2013
الثورة أيها الفلسطينيون.doc	revolt2.doc	folder5/revolt2.doc	1.0	302	2010-02-23	23/شباط/2010
الثورة على أنفسنا.doc	revolution.doc	folder1/revolution.doc	0.8	416	2006-09-04	4/أيلول/2006
الحاج أوباما ونصرة اليتامى.doc	America26.doc	folder4/America26.doc	1.0	846	2009-06-13	13/حزيران/2009
الحرب آتية.doc	War3.doc	old flash memory/New folder (4)/War3.doc	1.0	1471	2007-07-12	12/تموز/2007
الحرب الثانية على غزة.doc	Gaza32.doc	folder5/Gaza32.doc	0.85	1176	2010-01-08	8/كانون ثاني/2010
الحرب الفلسطينية على الفلسطينيين.doc	Palestine131.doc	folder6/Palestine131.doc	0.85	1169	2010-11-17	17/تشرين ثاني/2010
الحرب ضد العرب والمسلمين.doc	war.doc	folder1/folder2/war.doc	1.0	1508	2002-02-01	1/شباط/2002
الحرب وميزان القوى الجديد.doc	Hizballah35.doc	folder5/Hizballah35.doc	1.0	1587	2010-05-27	27/أيار/2010
الحل الاقتصادي الفلسطيني للضفة الغربية.doc	palestine58.doc	folder6/palestine58.doc	1.0	1771	2011-08-10	10/آب/2011
الخاسر نظام مصر وليس حزب الله.docx	Hizballah33.docx	folder4/Hizballah33.docx	1.0	787	2009-04-13	13/نيسان/2009
الخروج من الأزمة في فلسطين.doc	Salaries2.doc	folder1/Salaries2.doc	0.85	342	2006-10-02	2/تشرين أول/2006
الخروج من المأزق الفلسطيني.doc	palestine93.doc	folder4/palestine93.doc	1.0	599	2009-05-03	3/أيار/2009
الخزي الأكبر.doc	Palestine34.doc	folder1/Palestine34.doc	1.0	750	2007-06-19	19/حزيران/2007
الخطوات القادمة في غزة.doc	Gaza35.doc	folder7/Gaza35.doc	0.85	526	2012-11-25	25/تشرين ثاني/2012
الخلل في مفاوضات التهدئة.doc	Palestine86.doc	folder4/Palestine86.doc	0.85	1039	2008-12-25	25/كانون أول/2008
الخوف من شارون والبكاء عليه.doc	Sharon7.doc	folder1/Sharon7.doc	0.85	721	2006-01-08	8/كانون ثاني/2006
الخيانة بوقاحة.doc	Qatar2.doc	folder6/Qatar2.doc	0.85	509	2011-12-11	11/كانون أول/2011
الخيانة في فلسطين عينك عينك.doc	Palestine10.doc	folder1/Palestine10.doc	1.0	454	2006-09-26	26/أيلول/2006
الدكتور فياض والاقتصاد المقاوم.doc	economy9.doc	folder6/economy9.doc	1.0	585	2012-04-23	23/نيسان/2012
الدكتور وزير المالية المحترم.doc	Car8.doc	folder6/Car8.doc	0.85	188	2009-02-02	2/شباط/2009
الدين الشعبي وتطبيق الشريعة.doc	Islam23.doc	folder15/Islam23.doc	1.0	1101	2013-08-18	18/آب/2013
الرئيس مرسي والأمريكيون.doc	Egypt13.doc	folder7/Egypt13.doc	1.0	332	2012-07-31	31/تموز/2012
الرحيل عن فلسطين.doc	Palestine112.doc	folder5/Palestine112.doc	1.0	866	2010-05-15	15/أيار/2010
الرد على الملك عبد الله.doc	King1.doc	folder/King1.doc	1.0	860	2004-04-17	17/نيسان/2004
الزحف الإسرائيلي نحو الصين.doc	china.doc	folder/china.doc	1.0	675	2005-06-23	23/حزيران/2005
السفير الأمريكي في حماة.doc	Syria13.doc	folder6/Syria13.doc	1.0	382	2011-07-09	9/تموز/2011
السلام والمقاومة في ضوء المتغيرات.doc	resistance10.doc	resistance10.doc	0.85	3714	2009-03-08	8/آذار/2009
السنة والشيعة في ميزان الموقف من.doc	Shiites6.doc	Shiites6.doc	0.85	1059	2014-01-28	28/كانون ثاني/2014
السيد النائب العام الفلسطيني.doc	Court35.doc	folder6/Court35.doc	0.85	260	2011-05-19	19/أيار/2011
الشعب سبب الانقسام.doc	Palestine148.doc	folder6/Palestine148.doc	0.85	274	2011-03-16	16/آذار/2011
الشعب يريد إسقاط أوسلو.doc	Palestine146.doc	folder6/Palestine146.doc	0.85	184	2011-03-03	3/آذار/2011
الشكر لإيران وسوريا وحزب الله.doc	Iran28.doc	Iran28.doc	0.85	306	2012-11-17	17/تشرين ثاني/2012
الشهداء بكثرة يتتابعون.doc	bayan18.doc	E/bayan18.doc	0.85	265	2003-03-15	15/آذار/2003
الصمت الروسي حول غزة.doc	Russia3.doc	folder4/Russia3.doc	1.0	1451	2009-02-11	11/شباط/2009
الصمت مقابل القتل.doc	Israel4.doc	folder/Israel4.doc	0.85	665	2005-11-01	1/تشرين ثاني/2005
الصور الإسرائيلية لمواقع حزب الله.doc	Hizballah36.doc	folder5/Hizballah36.doc	1.0	463	2010-07-08	8/تموز/2010
الضائقة الاقتصادية في الضفة الغربية.doc	Palestine132.doc	folder6/Palestine132.doc	0.85	1193	2011-01-13	13/كانون ثاني/2011
الضباط الأربعة إحباط أمريكي جديد.doc	America21.doc	folder4/America21.doc	1.0	448	2009-04-30	30/نيسان/2009
الضفة ستصبح هدفا لنشاط القاعدة.doc	Qaeda4.doc	old flash memory/New folder (4)/Qaeda4.doc	0.85	268	2007-07-22	22/تموز/2007
الطفل التونسي يحاضر لقيادات فلسطين.doc	Tunis2.doc	folder6/Tunis2.doc	0.85	230	2012-05-02	2/أيار/2012
العبرة لحماس.doc	Hamas7.doc	folder1/Hamas7.doc	0.85	923	2006-01-28	28/كانون ثاني/2006
العراق.doc	Iraq1X.doc	Iraq1X.doc	1.0	1389	2003-04-25	25/نيسان/2003
العرب قراطية.doc	Arabs31.doc	old flash memory/New folder (8)/Arabs31.doc	1.0	1533	2013-08-01	1/آب/2013
العلاقات الحمساوية الداخلية بعد.doc	Hamas21.doc	old flash memory/New folder (7)/Hamas21.doc	1.0	2477	2007-06-11	11/حزيران/2007
العودة إلى القرآن الكريم توحد المسلمين.doc	Islam15 - Copy.doc	folder15/Islam15 - Copy.doc	0.85	2558	2013-02-22	22/شباط/2013
العولمة الأمريكية تترنح.doc	America19.doc	old flash memory/New folder (4)/America19.doc	0.85	1856	2008-11-11	11/تشرين ثاني/2008
العيساوي وحرب الإرادات.doc	Palestine191.doc	folder7/Palestine191.doc	1.0	317	2013-04-24	24/نيسان/2013
الفتنة أشد من القتل.doc	Jihad2.doc	folder1/Jihad2.doc	0.85	322	2006-01-10	10/كانون ثاني/2006
الفرار إلى إسرائيل.doc	palestine67.doc	old flash memory/New folder (4)/palestine67.doc	1.0	941	2008-08-07	7/آب/2008
الفساد والاحتلال ضد خالد السوسو.doc	khaled1.doc	E/khaled1.doc	0.85	370	2003-01-25	25/كانون ثاني/2003
الفساد يأكل فلسطين.doc	Corruption2.doc	folder/Corruption2.doc	1.0	2149	2004-09-09	9/أيلول/2004
الفلسطينيون التايلانديون.doc	Palestine152.doc	folder6/Palestine152.doc	1.0	492	2011-06-16	16/حزيران/2011
الفلسطينيون بحاجة لقاعدة عسكرية.doc	Palestine230.doc	folder7/Palestine230.doc	1.0	487	2014-09-06	6/أيلول/2014
الفلسطينيون ضحايا الخيانة.doc	treason5.doc	folder7/treason5.doc	1.0	697	2012-09-30	30/أيلول/2012
الفوضى تدب في فلسطين.doc	Security21.doc	folder/Security21.doc	0.85	728	2006-01-07	7/كانون ثاني/2006
القتال من أجل الهزيمة.doc	Defeat10.doc	folder/Defeat10.doc	0.85	645	2005-12-20	20/كانون أول/2005
القدس يحميها أهلها.doc	Jerusalem7.doc	folder6/Jerusalem7.doc	1.0	469	2012-02-22	22/شباط/2012
الكبرياء الوطني والتغلب على الحصار.doc	Palestine28.doc	old flash memory/New folder (4)/Palestine28.doc	0.85	921	2007-05-12	12 أيار 2007
اللاجئون والصواريخ في حلق عباس.doc	Abbas6.doc	folder/Abbas6.doc	0.85	812	2005-08-09	9/آب/2005
اللاجئون والصواريخ في خطاب عباس.doc	Abbas5.doc	folder/Abbas5.doc	0.85	653	2005-08-09	9/آب/2005
المتحاورون الفلسطينيون كاذبون.doc	Palestine32.doc	folder1/Palestine32.doc	1.0	394	2007-06-04	4/حزيران/2007
المحكمة الدولية أداة في المعادلة.doc	Lebanon7.doc	old flash memory/New folder (4)/Lebanon7.doc	0.85	2455	2007-06-13	13 حزيران 2007
المحكمة الدولية الخاصة باغتيال الحريري.doc	Lebanon10.doc	folder6/Lebanon10.doc	1.0	573	2011-06-02	2/حزيران/2011
المحور العربي-الإسرائيلي.doc	axis1.doc	folder1/axis1.doc	0.85	883	2006-10-01	1/تشرين أول/2006
المخابرات الأردنية التكتم والفضيحة.doc	Jordan9.doc	folder5/Jordan9.doc	0.85	800	2010-01-11	11/كانون ثاني/2010
المدارس ليست مزارعكم.doc	Palestine145.doc	folder6/Palestine145.doc	0.85	270	2011-02-24	24/شباط/2011
المدّ الفلسطيني والجزْر الإسرائيلي.doc	Palestine226.doc	gaza 10/Palestine226.doc	1.0	1514	2014-07-09	9/تموز/2014
المساس بالمقاومة مساس بفلسطين.doc	hamas38 (2).doc	folder7/hamas38 (2).doc	1.0	712	2013-07-26	26/تموز/2013
المساعدات المالية الأمريكية رمز.doc	Palestine187.doc	Palestine187.doc	0.85	264	2013-03-25	25/آذار/2013
المصالحة الفلسطينية في ذيل التنسيق مع.doc	palestine166.doc	folder6/palestine166.doc	1.0	1488	2012-01-09	9/كانون ثاني/2012
المصالحة الفلسطينية وإعادة بناء.doc	Palestine231.doc	folder7/Palestine231.doc	1.0	810	2014-09-08	8/أيلول/2014
المعركة على أرض فلسطين.doc	Gaza27.doc	folder4/Gaza27.doc	0.85	687	2009-01-12	12/كانون ثاني/2009
المفرقعات الفلسطينية والرصاصات.doc	Palestine156.doc	folder6/Palestine156.doc	0.85	187	2011-07-24	24/تموز/2011
المقاومة الشعبية الفلسطينية.doc	Palestine173.doc	folder6/Palestine173.doc	1.0	797	2012-03-20	20/آذار/2012
المقاومة الفلسطينية الفاشلة.doc	Palestine201.doc	folder7/Palestine201.doc	1.0	406	2013-08-13	13/آب/2013
المقاومة توحد شعب فلسطين.doc	Palestine141.doc	folder6/Palestine141.doc	0.85	203	2011-02-16	16/شباط/2011
